"abs__textfield_searchview_holo_light","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","o38"
"abs__textfield_searchview_right_holo_dark","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","o39"
"abs__textfield_searchview_right_holo_light","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","o40"
"/a2z.Mobile.MGMA13.apk/res/drawable-appstore","png","pictures","108061","2013-09-30 15:11:10.000","false","false","true","true","false","false","o41"
"/a2z.Mobile.MGMA13.apk/res/drawable-attendees","png","pictures","559","2013-09-30 15:11:10.000","false","false","true","true","false","false","o42"
"backgroundstate","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","o43"
"/a2z.Mobile.MGMA13.apk/res/drawable-bg_selected","png","pictures","84","2013-09-30 15:11:10.000","false","false","true","true","false","false","o44"
"bg_selector","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","o45"
"/a2z.Mobile.MGMA13.apk/res/drawable-bird_blue_48","png","pictures","234","2013-09-30 15:11:10.000","false","false","true","true","false","false","o46"
"/a2z.Mobile.MGMA13.apk/res/drawable-blog_2x","png","pictures","1285","2013-09-30 15:11:10.000","false","false","true","true","false","false","o47"
"/a2z.Mobile.MGMA13.apk/res/drawable-blog_72","png","pictures","2319","2013-09-30 15:11:10.000","false","false","true","true","false","false","o48"
"booth_visited_selector","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","o49"
"border","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","o50"
"/a2z.Mobile.MGMA13.apk/res/drawable-button_map_it","png","pictures","15846","2013-09-30 15:11:12.000","false","false","true","true","false","false","o51"
"/a2z.Mobile.MGMA13.apk/res/drawable-buzz_icon","png","pictures","1114","2013-09-30 15:11:12.000","false","false","true","true","false","false","o52"
"/a2z.Mobile.MGMA13.apk/res/drawable-buzz_icon_1","png","pictures","1784","2013-09-30 15:11:12.000","false","false","true","true","false","false","o53"
"/a2z.Mobile.MGMA13.apk/res/drawable-calendar36","png","pictures","2510","2013-09-30 15:11:12.000","false","false","true","true","false","false","o54"
"/a2z.Mobile.MGMA13.apk/res/drawable-content_2x","png","pictures","2231","2013-09-30 15:11:12.000","false","false","true","true","false","false","o55"
"/a2z.Mobile.MGMA13.apk/res/drawable-content_72","png","pictures","6401","2013-09-30 15:11:12.000","false","false","true","true","false","false","o56"
"/a2z.Mobile.MGMA13.apk/res/drawable-content_icon_1","png","pictures","2024","2013-09-30 15:11:12.000","false","false","true","true","false","false","o57"
"/a2z.Mobile.MGMA13.apk/res/drawable-content_icon_10","png","pictures","792","2013-09-30 15:11:12.000","false","false","true","true","false","false","o58"
"/a2z.Mobile.MGMA13.apk/res/drawable-content_icon_11","png","pictures","938","2013-09-30 15:11:12.000","false","false","true","true","false","false","o59"
"/a2z.Mobile.MGMA13.apk/res/drawable-content_icon_2","png","pictures","3092","2013-09-30 15:11:12.000","false","false","true","true","false","false","o60"
"/a2z.Mobile.MGMA13.apk/res/drawable-content_icon_3","png","pictures","554","2013-09-30 15:11:12.000","false","false","true","true","false","false","o61"
"/a2z.Mobile.MGMA13.apk/res/drawable-content_icon_4","png","pictures","1983","2013-09-30 15:11:12.000","false","false","true","true","false","false","o62"
"/a2z.Mobile.MGMA13.apk/res/drawable-content_icon_5","png","pictures","559","2013-09-30 15:11:12.000","false","false","true","true","false","false","o63"
"/a2z.Mobile.MGMA13.apk/res/drawable-content_icon_6","png","pictures","2514","2013-09-30 15:11:12.000","false","false","true","true","false","false","o64"
"/a2z.Mobile.MGMA13.apk/res/drawable-content_icon_7","png","pictures","1032","2013-09-30 15:11:12.000","false","false","true","true","false","false","o65"
"/a2z.Mobile.MGMA13.apk/res/drawable-content_icon_8","png","pictures","1066","2013-09-30 15:11:12.000","false","false","true","true","false","false","o66"
"/a2z.Mobile.MGMA13.apk/res/drawable-content_icon_9","png","pictures","2319","2013-09-30 15:11:12.000","false","false","true","true","false","false","o67"
"/a2z.Mobile.MGMA13.apk/res/drawable-default_product","png","pictures","932","2013-09-30 15:11:12.000","false","false","true","true","false","false","o68"
"drop_shadow","xml","/a2z.Mobile.MGMA13.apk/res/drawable","-1","2013-09-30 15:11:26.000","false","false","true","true","false","false","o69"
"/a2z.Mobile.MGMA13.apk/res/drawable-enhanced_badge","png","pictures","1175","2013-09-30 15:11:12.000","false","false","true","true","false","false","o70"
"/a2z.Mobile.MGMA13.apk/res/drawable-event_info_icon","png","pictures","1598","2013-09-30 15:11:12.000","false","false","true","true","false","false","o71"
"/a2z.Mobile.MGMA13.apk/res/drawable-exhibitors_2x","png","pictures","1424","2013-09-30 15:11:12.000","false","false","true","true","false","false","o72"
"/a2z.Mobile.MGMA13.apk/res/drawable-exhibitors_72","png","pictures","3714","2013-09-30 15:11:12.000","false","false","true","true","false","false","o73"
"/a2z.Mobile.MGMA13.apk/res/drawable-exhibitors_icon","png","pictures","1543","2013-09-30 15:11:12.000","false","false","true","true","false","false","o74"
"/a2z.Mobile.MGMA13.apk/res/drawable-exhibitors_icon_1","png","pictures","1424","2013-09-30 15:11:12.000","false","false","true","true","false","false","o75"
"/a2z.Mobile.MGMA13.apk/res/drawable-facebook_2x","png","pictures","543","2013-09-30 15:11:12.000","false","false","true","true","false","false","o76"
